,equity
2023-07-28,80072.61444684929
2023-07-31,80688.75619778504
2023-08-01,82178.02184180547
2023-08-02,83716.32671511758
2023-08-03,82876.21895500651
2023-08-04,82267.25598641473
2023-08-07,83450.05895118008
2023-08-08,82738.73203394382
2023-08-09,81839.4878506422
2023-08-10,81560.06278624716
2023-08-11,81945.3124408036
2023-08-14,81947.21948084628
2023-08-15,81547.0667523994
2023-08-16,81131.7618064332
2023-08-17,81131.7618064332
2023-08-18,81131.7618064332
2023-08-21,81131.7618064332
2023-08-22,81131.7618064332
2023-08-23,81131.7618064332
2023-08-24,81131.7618064332
2023-08-25,81131.7618064332
2023-08-28,81131.7618064332
2023-08-29,81131.7618064332
2023-08-30,81131.7618064332
2023-08-31,81131.7618064332
2023-09-01,81131.7618064332
2023-09-04,81131.7618064332
2023-09-05,81131.7618064332
2023-09-06,81131.7618064332
2023-09-07,81131.7618064332
2023-09-08,81131.7618064332
2023-09-11,81131.7618064332
2023-09-12,81131.7618064332
2023-09-13,81131.7618064332
2023-09-14,81131.7618064332
2023-09-15,81131.7618064332
2023-09-18,81131.7618064332
2023-09-19,81131.7618064332
2023-09-20,81131.7618064332
2023-09-21,81131.7618064332
2023-09-22,81131.7618064332
2023-09-25,81131.7618064332
2023-09-26,81131.7618064332
2023-09-27,81131.7618064332
2023-09-28,81131.7618064332
2023-09-29,81131.7618064332
2023-10-02,81131.7618064332
2023-10-03,81131.7618064332
2023-10-04,81131.7618064332
2023-10-05,81131.7618064332
2023-10-06,81131.7618064332
2023-10-09,81131.7618064332
2023-10-10,81131.7618064332
2023-10-11,81131.7618064332
2023-10-12,81131.7618064332
2023-10-13,81131.7618064332
2023-10-16,81131.7618064332
2023-10-17,81131.7618064332
2023-10-18,81131.7618064332
2023-10-19,81131.7618064332
2023-10-20,81131.7618064332
2023-10-23,81131.7618064332
2023-10-24,81131.7618064332
2023-10-25,81131.7618064332
2023-10-26,81092.98420153932
2023-10-27,81141.69727436315
2023-10-30,82506.20585660894
2023-10-31,82225.21568820634
2023-11-01,83050.61057219925
2023-11-02,83202.82706606429
2023-11-03,83883.78675622228
2023-11-06,83624.43319326676
2023-11-07,83666.3916901052
2023-11-08,83658.43544692163
2023-11-09,83106.87450080477
2023-11-10,83685.69811627838
2023-11-13,84259.70659829327
2023-11-14,84794.2843922426
2023-11-15,86064.81172537021
2023-11-16,87285.83801276822
2023-11-17,87072.48310363697
2023-11-20,87450.66928359868
2023-11-21,87040.46766412126
2023-11-22,87141.7970271193
2023-11-23,86751.8574027657
2023-11-24,88119.38628383273
2023-11-27,88494.8025392324
2023-11-28,88404.10684350404
2023-11-29,89451.89142911878
2023-11-30,87791.25101519813
2023-12-01,86284.99424818862
2023-12-04,86992.34746203
2023-12-05,87122.92544626186
2023-12-06,87404.12301814836
2023-12-07,86441.76862547176
2023-12-08,86505.83882478351
2023-12-11,88175.4254719382
2023-12-12,88921.81743286624
2023-12-13,89143.7315172822
2023-12-14,88873.93328668055
2023-12-15,88640.74717611863
2023-12-18,87028.45384811907
2023-12-19,87315.02841904401
2023-12-20,88070.83155697184
2023-12-21,86904.27248956256
2023-12-22,86467.10349472926
2023-12-25,85646.46290363408
2023-12-26,84981.65416878217
2023-12-27,85088.43720415118
2023-12-28,84142.70427534125
2023-12-29,84484.31179729576
2024-01-01,84895.26697414625
2024-01-02,84825.11691081914
2024-01-03,83697.99614423329
2024-01-04,83281.55802088103
2024-01-05,83907.88732320452
2024-01-08,82664.37386698081
2024-01-09,82553.09094826848
2024-01-10,82062.89659602527
2024-01-11,82477.32268572508
2024-01-12,82217.13881140915
2024-01-15,82449.33531716731
2024-01-16,82756.92555658893
2024-01-17,83658.58754308335
2024-01-18,83612.69327941573
2024-01-19,83838.4852755279
2024-01-22,83193.44030076935
2024-01-23,83798.67162541147
2024-01-24,83491.47793407203
2024-01-25,83279.01327398104
2024-01-26,83317.51752905943
2024-01-29,82643.47270676127
